A,B,t,VF
0.74806432,0.3948081,1,0.10888
0.748021094,0.408920161,0.988709436,0.119296
0.747596161,0.406096678,0.976238343,0.127264
0.72950732,0.403327852,0.937052556,0.139456
0.789548495,0.447533043,1,0.149008
0.793517498,0.445187595,0.991671307,0.157024
0.760199302,0.410799126,0.922689337,0.168304
0.81218006,0.469893277,0.981911822,0.179248
0.803600982,0.468025545,0.955117705,0.1888
0.822942806,0.468025545,0.955117705,0.197728
0.803603131,0.473719274,0.920386789,0.20872
0.805858696,0.457932848,0.892492912,0.218656
0.721661901,0.429143845,0.791097624,0.228592
0.768004797,0.453465686,0.821809814,0.238336
0.768730112,0.399518331,0.761550493,0.245872
0.767663491,0.458733135,0.778616861,0.25936
0.770663222,0.499680451,0.786197521,0.26992
0.781043643,0.492016658,0.770852186,0.27736
0.765990815,0.456909571,0.710168713,0.288592
0.709231112,0.433356072,0.645901704,0.298288
0.75171584,0.511303554,0.695068835,0.30928
0.790177997,0.500648503,0.681018335,0.319408
0.731406535,0.506592383,0.635825919,0.32968
0.781356959,0.512576803,0.633830168,0.339232
0.873036734,0.627109395,0.715522768,0.349888
0.86467203,0.62547016,0.683231639,0.359056
0.737143193,0.506821464,0.537338902,0.369952
0.84842491,0.624305411,0.623857367,0.376624
0.832920228,0.616676531,0.580502667,0.389008
0.761561281,0.453923373,0.425503559,0.397984
0.760903611,0.407764277,0.359475993,0.408976
0.683053579,0.535297045,0.419206799,0.416512
0.881224712,0.624239042,0.458334474,0.428704
0.909448051,0.737621152,0.49006942,0.439312
0.886829389,0.729429356,0.452790692,0.447232
0.808669683,0.635804568,0.363183314,0.457312
0.507930822,0.410024705,0.20486548,0.469936
1,0.630997551,0.274852619,0.47824
0.832587256,0.707711704,0.280849221,0.489376
0.689423037,0.602424654,0.210982091,0.499168
0.689654653,0.539110123,0.150776039,0.5092
0.86029949,0.583301378,0.115231912,0.517792
0.876842743,0.581045846,0.082667962,0.525184
0.855761098,0.750831373,0.090649761,0.539536
0.664021278,0.607520705,0.047692021,0.549568
0.763850465,0.744094437,0.028291523,0.558496
0.668646871,0.613941349,-0.02093518,0.568576
0.509008268,0.412042471,-0.048786658,0.576832
0.530347129,0.432140179,-0.086340855,0.5896
0.60991819,0.604704905,-0.108937877,0.598288
0.587452084,0.574137919,-0.147177183,0.609328
0.573324875,0.610387159,-0.170933144,0.619024
0.549433588,0.595692817,-0.177225406,0.622288
0.840781468,0.953843983,-0.363820191,0.639664
0.549433588,0.633618085,-0.270397311,0.64864
0.792944722,0.890851057,-0.444583908,0.65992
0.585838544,0.465687165,-0.33343866,0.66808
0.692751392,0.63523244,-0.450114338,0.678784
0.535649699,0.667697028,-0.407722462,0.68536
0.575425505,0.605809974,-0.461407376,0.6976
0.62503119,0.709558108,-0.561859905,0.709216
0.581535258,0.654314046,-0.561433571,0.718864
0.561840574,0.65398819,-0.594528716,0.729664
0.617775946,0.764980015,-0.690250299,0.733264
0.56130205,0.798922571,-0.745462488,0.748144
0.580904678,0.625722319,-0.71048157,0.7588
0.726750171,0.887324646,-1,0.768352
0.712649919,0.583301378,-0.843798354,0.77728
0.707945772,0.724486488,-0.977729659,0.787504
0.469481215,0.713183333,-0.854871299,0.796864
0.466184307,0.447993041,-0.690835099,0.809632
0.355867124,0.432140179,-0.627459776,0.818992
0.449147722,0.727435076,-1,0.82984
0.397038911,0.53023226,-0.809254558,0.839584
0.388517888,0.567933669,-0.854112191,0.843904
0.363314416,0.630924564,-0.952283524,0.85696
0.383790336,0.560274906,-0.937769812,0.869824
0.397038911,0.4213548,-0.809254558,0.875728
0.646476764,0.370476144,-1,0.88936
0.557647741,0.26735715,-0.80608658,0.891568
